date,open,high,low,close,volume,split,dividend,absoluteChange,percentChange
4/14/2017 0:00,1172.56,1193,1142,1170.34,8982.77,,,,
4/15/2017 0:00,1169.53,1192.5,1165,1173.45,1804.45,,,,
4/16/2017 0:00,1171,1179.3,1150,1162.31,2663.99,,,,
4/17/2017 0:00,1162.31,1192.5,1161,1176.54,3568.83,,,,
4/18/2017 0:00,1176.59,1210,1175.95,1202.58,5514.18,,,,
4/19/2017 0:00,1202.59,1209.99,1190,1203.98,6046.52,,,,
4/20/2017 0:00,1203.98,1243.88,1201.66,1234.19,5972.94,,,,
4/21/2017 0:00,1234.93,1252.32,1231.65,1243.61,5023.04,,,,
4/22/2017 0:00,1243.6,1247.15,1199,1233.2,4173.28,,,,
4/23/2017 0:00,1231.85,1248.99,1223.42,1241.99,2604.72,,,,
4/24/2017 0:00,1242,1254,1234,1253.58,3048.69,,,,
4/25/2017 0:00,1253.57,1280,1251.07,1269,5249.77,,,,
4/26/2017 0:00,1271.4,1330,1265,1287.99,8707.64,,,,
4/27/2017 0:00,1287.92,1342.02,1285,1331.53,6669.99,,,,
4/28/2017 0:00,1331,1347.02,1299,1330.7,8234.28,,,,
4/29/2017 0:00,1333.93,1342.8,1316,1333,3927.45,,,,
4/30/2017 0:00,1336.77,1356,1315.68,1350.21,3536.18,,,,
5/1/2017 0:00,1348.88,1425,1341.22,1390.86,8604.41,,,,
5/2/2017 0:00,1390.86,1481.73,1388,1447.75,8920.69,,,,
5/3/2017 0:00,1447.75,1516.04,1431.02,1503.22,11077.59,,,,
5/4/2017 0:00,1503.25,1623.01,1444.94,1537.23,19548.53,,,,
5/5/2017 0:00,1537.36,1609,1495,1514.9,15603.68,,,,
5/6/2017 0:00,1515.39,1578.97,1505,1558.02,7901.14,,,,
5/7/2017 0:00,1554.04,1565,1525,1554.01,7667.79,,,,
5/8/2017 0:00,1554.38,1653.97,1554.38,1649.54,19262.35,,,,
5/9/2017 0:00,1649.55,1760.4,1616.05,1720.28,16807.73,,,,
5/10/2017 0:00,1720.26,1794.21,1682,1772.58,11265.38,,,,
5/11/2017 0:00,1774.52,1892,1745.01,1828.45,14740.22,,,,
5/12/2017 0:00,1830.85,1832,1650,1691.51,17062.84,,,,
5/13/2017 0:00,1690.33,1785.82,1601.46,1776.89,10532.23,,,,
5/14/2017 0:00,1776.8,1815,1753,1784,4816.73,,,,
5/15/2017 0:00,1782.3,1784,1682.56,1705.48,13316.8,,,,
5/16/2017 0:00,1706.07,1750,1641.22,1700.01,16554.09,,,,
5/17/2017 0:00,1700.01,1840.42,1670.01,1782.99,17797.32,,,,
5/18/2017 0:00,1779,1881.8,1766.33,1878.99,11916.12,,,,
5/19/2017 0:00,1879,1969.99,1874.99,1958,14124.62,,,,
5/20/2017 0:00,1959.09,2021,1914,2013.99,12309.95,,,,
5/21/2017 0:00,2013.99,2063.11,1961.52,2017.55,6755.83,,,,
5/22/2017 0:00,2017.55,2230.34,2001,2099.97,16338.54,,,,
5/23/2017 0:00,2088.76,2275,2088.45,2264.23,14138.92,,,,
5/24/2017 0:00,2265.9,2481.75,2264.64,2420.29,22144.6,,,,
5/25/2017 0:00,2420.29,2760.1,2221,2292.53,32964.76,,,,
5/26/2017 0:00,2277.01,2599.12,2060,2279.82,28326.82,,,,
5/27/2017 0:00,2280.7,2339.94,1850,2042,26216.28,,,,
5/28/2017 0:00,2042.89,2313.96,2041.48,2178.81,15375.22,,,,
5/29/2017 0:00,2172.54,2350,2110,2292.1,12129.28,,,,
5/30/2017 0:00,2290.18,2339.08,2160,2203.51,13888.85,,,,
5/31/2017 0:00,2201.7,2334,2154.28,2298.01,16279.29,,,,
6/1/2017 0:00,2298.01,2456.39,2296.81,2413.63,18401.66,,,,
6/2/2017 0:00,2413.58,2489,2370.03,2488.94,12428.7,,,,
6/3/2017 0:00,2488.94,2584.34,2445,2540.94,10810.58,,,,
6/4/2017 0:00,2538.1,2569,2460,2530.27,8828.62,,,,
6/5/2017 0:00,2530.27,2699.35,2525.28,2698,12221.44,,,,
6/6/2017 0:00,2698,2933,2689.4,2880.74,26695.67,,,,
6/7/2017 0:00,2875.71,2893.28,2612.5,2683.03,16967.04,,,,
6/8/2017 0:00,2680.24,2815,2613.13,2806,13251.41,,,,
6/9/2017 0:00,2805.46,2868.23,2780.43,2822.32,8036.31,,,,
6/10/2017 0:00,2818,2912.98,2800,2899.99,9593.36,,,,
6/11/2017 0:00,2899.01,2967.46,2861.53,2954.22,6830.61,,,,
6/12/2017 0:00,2954.23,2980,2480.03,2667.06,31534.95,,,,
6/13/2017 0:00,2656.97,2783.62,2638.62,2703.02,16275.83,,,,
6/14/2017 0:00,2705.99,2801,2320,2450,29478.82,,,,
6/15/2017 0:00,2451.42,2516.2,2120,2424.91,36751.09,,,,
6/16/2017 0:00,2424.96,2540,2307.66,2484.68,13802.39,,,,
6/17/2017 0:00,2484.68,2674.4,2420.53,2630,11142.99,,,,
6/18/2017 0:00,2630.06,2665,2460.62,2516.98,9424.23,,,,
6/19/2017 0:00,2516.98,2598,2480.96,2598,10570.67,,,,
6/20/2017 0:00,2598,2783,2581,2740,15891.7,,,,
6/21/2017 0:00,2734.03,2789,2611,2657.04,15676.32,,,,
6/22/2017 0:00,2658.67,2740,2594.61,2713.48,10792.79,,,,
6/23/2017 0:00,2713.48,2745,2657.46,2685.05,8232.48,,,,
6/24/2017 0:00,2685.05,2724.96,2512.13,2557.66,13342.82,,,,
6/25/2017 0:00,2557.66,2635.72,2432,2502.03,10339.57,,,,
6/26/2017 0:00,2502.26,2550.03,2315.01,2421.22,22094.21,,,,
6/27/2017 0:00,2421.21,2565,2291,2565,19129.6,,,,
6/28/2017 0:00,2565,2593,2468.01,2559.9,12274.55,,,,
6/29/2017 0:00,2550.99,2594.78,2500.31,2541.59,8125.38,,,,
6/30/2017 0:00,2538.41,2564.58,2451,2465.49,8715.72,,,,
7/1/2017 0:00,2465.48,2517.11,2390,2412.41,8885.89,,,,
7/2/2017 0:00,2421.3,2528.72,2374.34,2504.37,8744.53,,,,
7/3/2017 0:00,2504.81,2595,2472.68,2550.47,11520.71,,,,
7/4/2017 0:00,2540.07,2639.47,2540.07,2596.12,9662.76,,,,
7/5/2017 0:00,2594.52,2623,2530.1,2602.9,10882.84,,,,
7/6/2017 0:00,2598.37,2614,2522,2600.39,8333.98,,,,
7/7/2017 0:00,2599.01,2605,2475,2501.46,9430.62,,,,
7/8/2017 0:00,2501.46,2555,2462,2550.07,5405.89,,,,
7/9/2017 0:00,2550.13,2564.65,2500.5,2502.28,4483.14,,,,
7/10/2017 0:00,2504,2527.88,2261.85,2323.45,17296.34,,,,
7/11/2017 0:00,2326.12,2399,2242.62,2305.98,17580.96,,,,
7/12/2017 0:00,2301.55,2408.84,2239.54,2388,12883.55,,,,
7/13/2017 0:00,2383.97,2425.16,2312.93,2339.99,8429.85,,,,
7/14/2017 0:00,2340,2357.84,2140,2213.37,12659.02,,,,
7/15/2017 0:00,2209.44,2219.99,1967.65,1970.51,19886.68,,,,
7/16/2017 0:00,1970.51,2044.44,1830,1917.63,25562.71,,,,
7/17/2017 0:00,1917.72,2229.97,1910.57,2226,26448.5,,,,
7/18/2017 0:00,2226,2392,2164,2303.71,25204.49,,,,
7/19/2017 0:00,2308.82,2402.5,2223,2265.21,17009.88,,,,
7/20/2017 0:00,2265.51,2938,2265.51,2875.03,30989.89,,,,
7/21/2017 0:00,2880,2887.45,2611.39,2670,20724.16,,,,
7/22/2017 0:00,2667.01,2882,2644.59,2832.71,12819.63,,,,
7/23/2017 0:00,2824.82,2855,2640,2749.02,11001.96,,,,
7/24/2017 0:00,2756.8,2800,2701,2759.98,10001.92,,,,
7/25/2017 0:00,2759.95,2775.79,2450,2564.82,21326.55,,,,
7/26/2017 0:00,2564.74,2608.96,2400,2524.99,17713.67,,,,
7/27/2017 0:00,2524.99,2695,2509.63,2666.33,11826.48,,,,
7/28/2017 0:00,2666.33,2825,2655.82,2777.01,14069.5,,,,
7/29/2017 0:00,2777.01,2785.65,2631.78,2680.56,10782.22,,,,
7/30/2017 0:00,2681.6,2774.45,2569.69,2742.37,9678.16,,,,
7/31/2017 0:00,2745.76,2889.99,2680.01,2855.81,11114.34,,,,
8/1/2017 0:00,2855.81,2929.17,2615,2731,12525.08,,,,
8/2/2017 0:00,2732,2760,2650,2703.51,9486.63,,,,
